State,Year,Homeless_Rate,Political_Index,Temperature
KENTUCKY,2022,88.31,47.5333,56.3
LOUISIANA,2022,160.7,48.4683,67.3
MASSACHUSETTS,2022,222.08,56.78,50.3
MARYLAND,2022,86.78,54.2575,55.7
MAINE,2022,317.49,68.6675,43.4
MICHIGAN,2022,81.79,78.6217,45.1
MINNESOTA,2022,138.55,78.41,40.0
MISSOURI,2022,97.0,15.54,55.0
MISSISSIPPI,2022,40.7,15.405,64.7
MONTANA,2022,141.16,10.4,42.1
NORTH CAROLINA,2022,87.72,57.33,59.9
NORTH DAKOTA,2022,78.31,8.195,39.4
NEBRASKA,2022,114.12,10.055,49.7
NEW HAMPSHIRE,2022,114.72,53.4375,45.4
NEW JERSEY,2022,94.51,84.5175,54.3
NEW MEXICO,2022,121.13,88.88,54.6
NEVADA,2022,239.75,82.805,51.6
NEW YORK,2022,377.05,84.2762,46.6
OHIO,2022,90.6,38.1467,51.7
OKLAHOMA,2022,93.4,8.265,60.9
OREGON,2022,423.62,82.9108,48.3
PENNSYLVANIA,2022,97.83,78.2357,49.6
RHODE ISLAND,2022,144.17,90.15,52.1
SOUTH CAROLINA,2022,68.3,13.8746,63.8
SOUTH DAKOTA,2022,152.66,9.1425,45.2
TENNESSEE,2022,149.91,11.7647,58.5
TEXAS,2022,81.36,18.6346,66.5
UTAH,2022,105.2,9.8275,49.5
VIRGINIA,2022,75.23,44.6966,56.2
VERMONT,2022,429.6,57.075,44.2
WASHINGTON,2022,323.86,85.9825,47.1
WISCONSIN,2022,81.06,72.58,42.9
WEST VIRGINIA,2022,77.51,7.55,52.4
WYOMING,2022,111.41,6.88,42.0
