Year,State,Democrat_Count,Republican_Count,Democrat_Percentage,Republican_Percentage
2010,TENNESSEE,2,7,22.22222222222222,77.77777777777779
2011,TENNESSEE,2,7,22.22222222222222,77.77777777777779
2012,TENNESSEE,2,7,22.22222222222222,77.77777777777779
2013,TENNESSEE,2,7,22.22222222222222,77.77777777777779
2014,TENNESSEE,2,7,22.22222222222222,77.77777777777779
2015,TENNESSEE,2,7,22.22222222222222,77.77777777777779
2016,TENNESSEE,2,7,22.22222222222222,77.77777777777779
2017,TENNESSEE,2,7,22.22222222222222,77.77777777777779
2018,TENNESSEE,2,7,22.22222222222222,77.77777777777779
2019,TENNESSEE,2,7,22.22222222222222,77.77777777777779
2020,TENNESSEE,2,7,22.22222222222222,77.77777777777779
2021,TENNESSEE,2,7,22.22222222222222,77.77777777777779
2022,TENNESSEE,1,8,11.11111111111111,88.88888888888889
2010,TEXAS,9,23,28.125,71.875
2011,TEXAS,9,23,28.125,71.875
2012,TEXAS,12,24,33.33333333333333,66.66666666666666
2013,TEXAS,12,24,33.33333333333333,66.66666666666666
2014,TEXAS,11,25,30.555555555555557,69.44444444444444
2015,TEXAS,11,25,30.555555555555557,69.44444444444444
2016,TEXAS,11,25,30.555555555555557,69.44444444444444
2017,TEXAS,11,25,30.555555555555557,69.44444444444444
2018,TEXAS,13,23,36.11111111111111,63.888888888888886
2019,TEXAS,13,23,36.11111111111111,63.888888888888886
2020,TEXAS,13,23,36.11111111111111,63.888888888888886
2021,TEXAS,13,23,36.11111111111111,63.888888888888886
2022,TEXAS,13,25,34.21052631578947,65.78947368421053
2010,UTAH,1,2,33.33333333333333,66.66666666666666
2011,UTAH,1,2,33.33333333333333,66.66666666666666
2012,UTAH,1,3,25.0,75.0
2013,UTAH,1,3,25.0,75.0
2014,UTAH,0,4,0.0,100.0
2015,UTAH,0,4,0.0,100.0
2016,UTAH,0,4,0.0,100.0
2017,UTAH,0,4,0.0,100.0
2018,UTAH,1,3,25.0,75.0
2019,UTAH,1,3,25.0,75.0
2020,UTAH,0,4,0.0,100.0
2021,UTAH,0,4,0.0,100.0
2022,UTAH,0,4,0.0,100.0
2010,VERMONT,1,0,100.0,0.0
2011,VERMONT,1,0,100.0,0.0
2012,VERMONT,1,0,100.0,0.0
2013,VERMONT,1,0,100.0,0.0
2014,VERMONT,1,0,100.0,0.0
2015,VERMONT,1,0,100.0,0.0
2016,VERMONT,1,0,100.0,0.0
2017,VERMONT,1,0,100.0,0.0
2018,VERMONT,1,0,100.0,0.0
2019,VERMONT,1,0,100.0,0.0
2020,VERMONT,1,0,100.0,0.0
2021,VERMONT,1,0,100.0,0.0
2022,VERMONT,1,0,100.0,0.0
2010,VIRGINIA,3,8,27.27272727272727,72.72727272727273
2011,VIRGINIA,3,8,27.27272727272727,72.72727272727273
2012,VIRGINIA,3,8,27.27272727272727,72.72727272727273
2013,VIRGINIA,3,8,27.27272727272727,72.72727272727273
2014,VIRGINIA,3,8,27.27272727272727,72.72727272727273
2015,VIRGINIA,3,8,27.27272727272727,72.72727272727273
2016,VIRGINIA,4,7,36.36363636363637,63.63636363636363
2017,VIRGINIA,4,7,36.36363636363637,63.63636363636363
2018,VIRGINIA,7,4,63.63636363636363,36.36363636363637
2019,VIRGINIA,7,4,63.63636363636363,36.36363636363637
2020,VIRGINIA,7,4,63.63636363636363,36.36363636363637
2021,VIRGINIA,7,4,63.63636363636363,36.36363636363637
2022,VIRGINIA,6,5,54.54545454545454,45.45454545454545
2010,WASHINGTON,5,4,55.55555555555556,44.44444444444444
2011,WASHINGTON,5,4,55.55555555555556,44.44444444444444
2012,WASHINGTON,6,4,60.0,40.0
2013,WASHINGTON,6,4,60.0,40.0
2014,WASHINGTON,6,4,60.0,40.0
2015,WASHINGTON,6,4,60.0,40.0
2016,WASHINGTON,6,4,60.0,40.0
2017,WASHINGTON,6,4,60.0,40.0
2018,WASHINGTON,7,3,70.0,30.0
2019,WASHINGTON,7,3,70.0,30.0
2020,WASHINGTON,7,3,70.0,30.0
2021,WASHINGTON,7,3,70.0,30.0
2022,WASHINGTON,8,2,80.0,20.0
2010,WEST VIRGINIA,1,2,33.33333333333333,66.66666666666666
2011,WEST VIRGINIA,1,2,33.33333333333333,66.66666666666666
2012,WEST VIRGINIA,1,2,33.33333333333333,66.66666666666666
2013,WEST VIRGINIA,1,2,33.33333333333333,66.66666666666666
2014,WEST VIRGINIA,0,3,0.0,100.0
2015,WEST VIRGINIA,0,3,0.0,100.0
2016,WEST VIRGINIA,0,3,0.0,100.0
2017,WEST VIRGINIA,0,3,0.0,100.0
2018,WEST VIRGINIA,0,3,0.0,100.0
2019,WEST VIRGINIA,0,3,0.0,100.0
2020,WEST VIRGINIA,0,3,0.0,100.0
2021,WEST VIRGINIA,0,3,0.0,100.0
2022,WEST VIRGINIA,0,2,0.0,100.0
2010,WISCONSIN,3,5,37.5,62.5
2011,WISCONSIN,3,5,37.5,62.5
2012,WISCONSIN,3,5,37.5,62.5
2013,WISCONSIN,3,5,37.5,62.5
2014,WISCONSIN,3,5,37.5,62.5
2015,WISCONSIN,3,5,37.5,62.5
2016,WISCONSIN,3,5,37.5,62.5
2017,WISCONSIN,3,5,37.5,62.5
2018,WISCONSIN,3,5,37.5,62.5
2019,WISCONSIN,3,5,37.5,62.5
2020,WISCONSIN,3,5,37.5,62.5
2021,WISCONSIN,3,5,37.5,62.5
2022,WISCONSIN,2,6,25.0,75.0
2010,WYOMING,0,1,0.0,100.0
2011,WYOMING,0,1,0.0,100.0
2012,WYOMING,0,1,0.0,100.0
2013,WYOMING,0,1,0.0,100.0
2014,WYOMING,0,1,0.0,100.0
2015,WYOMING,0,1,0.0,100.0
2016,WYOMING,0,1,0.0,100.0
2017,WYOMING,0,1,0.0,100.0
2018,WYOMING,0,1,0.0,100.0
2019,WYOMING,0,1,0.0,100.0
2020,WYOMING,0,1,0.0,100.0
2021,WYOMING,0,1,0.0,100.0
2022,WYOMING,0,1,0.0,100.0
